title,Url,score
Open Source Farming Robot (farm.bot),https://farm.bot/,378
"""We ran out of columns"" (jimmyhmiller.github.io)",https://jimmyhmiller.github.io/ugliest-beautiful-codebase,1240
USB Sniffer Lite for RP2040 (github.com/ataradov),https://github.com/ataradov/usb-sniffer-lite,29
Reverse engineering the 59-pound printer onboard the Space Shuttle (righto.com),http://www.righto.com/2024/08/space-shuttle-interim-teleprinter.html,267
LLM as Database Administrator (2023) (arxiv.org),https://arxiv.org/abs/2312.01454,82
Clang vs. Clang (cr.yp.to),https://blog.cr.yp.to/20240803-clang.html,199
Make your electronics tamper-evident (anarsec.guide),https://www.anarsec.guide/posts/tamper/,209
Techniques used by developers to bypass App Store review (9to5mac.com),https://9to5mac.com/2024/08/02/developers-trick-app-store-review/,138
Monetagium – monetary extortion in feudal Europe (jpkoning.blogspot.com),http://jpkoning.blogspot.com/2024/05/monetagium.html,94
To preserve their work journalists take archiving into their own hands (niemanlab.org),https://www.niemanlab.org/2024/07/to-preserve-their-work-and-drafts-of-history-journalists-take-archiving-into-their-own-hands/,107
Primitive Recursive Functions for a Working Programmer (matklad.github.io),https://matklad.github.io/2024/08/01/primitive-recursive-functions.html,150
Upgrading my Chumby 8 kernel part 13: the end (downtowndougbrown.com),https://www.downtowndougbrown.com/2024/08/upgrading-my-chumby-8-kernel-part-13-the-end/,63
TPU transformation: A look back at 10 years of our AI-specialized chips (cloud.google.com),https://cloud.google.com/blog/transform/ai-specialized-chips-tpu-history-gen-ai,66
"Reverse engineering XC2064, the first FPGA  (2020) (righto.com)",https://www.righto.com/2020/09/reverse-engineering-first-fpga-chip.html,69
Parsing Protobuf Definitions with Tree-sitter (relistan.com),https://relistan.com/parsing-protobuf-files-with-treesitter,70
An FPGA built with 7400 series logic [video] (ccc.de),https://media.ccc.de/v/cosin2024-56234-fpga-selber-bauen-mit-74,124
Nvidia reportedly delays its next AI chip due to a design flaw (theverge.com),https://www.theverge.com/2024/8/3/24212518/nvidia-ai-chip-delay-blackwell-b200-microsoft-amazon-google-openai-meta-artificial-intelligence,131
How to build quickly (learnhowtolearn.org),https://learnhowtolearn.org/how-to-build-extremely-quickly/,454
Olympic surfing comes to a 'poisoned' paradise (nytimes.com),https://www.nytimes.com/2024/07/30/world/olympics/olympics-tahiti-nuclear-testing.html,10
From McMurdo Sound to Flanders Fields (nathangoldwag.wordpress.com),https://nathangoldwag.wordpress.com/2024/08/01/from-mcmurdo-sound-to-flanders-fields-the-end-of-the-heroic-age-of-antarctic-exploration/,9
Perfect NAS Solution (vermaden.wordpress.com),https://vermaden.wordpress.com/2024/08/04/perfect-nas-solution/,24
GitHub Copilot – Lessons (medium.com/sids-tech-cafe),https://medium.com/sids-tech-cafe/github-copilot-lessons-7afc1f5130a6,26
Discovering algorithms by enumerating terms in Haskell (twitter.com/victortaelin),https://twitter.com/VictorTaelin/status/1819208143638831404,118
Can reading make you happier? (2015) (newyorker.com),https://www.newyorker.com/culture/cultural-comment/can-reading-make-you-happier,82
"Additive manufacturing of an ultrastrong, deformable aluminum alloy (nature.com)",https://www.nature.com/articles/s41467-024-48693-4,80
Git: The Stupid Password Store (tylercipriani.com),https://tylercipriani.com/blog/2024/07/31/git-as-a-password-prompt/,38
Go Donut: Convert Live Streaming to WebRTC (github.com/flavioribeiro),https://github.com/flavioribeiro/donut,100
Sega Jet Rocket: The '70s arcade game with no computer or screen (newatlas.com),https://newatlas.com/games/sega-jet-rocket-arcade-game/,94
Revisiting Linux CPU Scheduling (uninformativ.de),https://www.uninformativ.de/blog/postings/2024-08-03/0/POSTING-en.html,30
The First Law of Complexodynamics (2011) (scottaaronson.blog),https://scottaaronson.blog/?p=762,27
